level0,level1,level2,level3a,domain,comments
Elm and beech twisted together,Elm and beech twisted together,Other hardwood,Other hardwood,Indiana v2.0,
elm bush,elm bush,Elm,Elm,Indiana v2.0,
Fkd B. Oak,Fkd B. Oak,Black/burr oak,Oak,Indiana v2.0,
fkd elm,fkd elm,Elm,Elm,Indiana v2.0,
Fkd Hickory,Fkd Hickory,Hickory,Hickory,Indiana v2.0,
fkd w oak,fkd w oak,White Oak,Oak,Indiana v2.0,
Fkd W oak,Fkd W oak,White Oak,Oak,Indiana v2.0,
Fked W Oak,Fked W Oak,White Oak,Oak,Indiana v2.0,
forked b oak,forked b oak,Black oak,Oak,Indiana v2.0,
forked B Walnut,forked B Walnut,Black walnut,Walnut,Indiana v2.0,
forked beech,forked beech,Beech,Beech,Indiana v2.0,
Forked Beech,Forked Beech,Beech,Beech,Indiana v2.0,
forked bl oak,forked bl oak,Black oak,Oak,Indiana v2.0,
forked cherry,forked cherry,Cherry,Cherry,Indiana v2.0,
forked Elm,forked Elm,Elm,Elm,Indiana v2.0,
Forked Elm,Forked Elm,Elm,Elm,Indiana v2.0,
forked ironwood,forked ironwood,Ironwood,Ironwood,Indiana v2.0,
forked lynn,forked lynn,Lynn,Basswood,Indiana v2.0,
Forked maple,Forked maple,Maple,Maple,Indiana v2.0,
Forked Maple,Forked Maple,Maple,Maple,Indiana v2.0,
forked r oak,forked r oak,Red Oak,Oak,Indiana v2.0,
forked r. oak,forked r. oak,Red Oak,Oak,Indiana v2.0,
g ash,g ash,Green/gray ash,Ash,Indiana v2.0,
G ash,G ash,Green/gray ash,Ash,Indiana v2.0,
G Ash,G Ash,Green/gray ash,Ash,Indiana v2.0,
g oak,g oak,Oak,Oak,Indiana v2.0,
g. ash,g. ash,Green/gray ash,Ash,Indiana v2.0,
G. ash,G. ash,Green/gray ash,Ash,Indiana v2.0,
G. Ash,G. Ash,Green/gray ash,Ash,Indiana v2.0,CVC problematic here as could be green or white ash see thesaurus:   green ash as this is already in the theasarus for IL & IN "swamp ash" or "green ash" =F. pennsyl. IN GLO; "blue ash" = F. quadran IN GLO; "blue ash" 1816 Wabush R. IN-IL GLO; "swamp ash in lowlands and "green ash" in uplands"  == Fr. pennsyl. fide  no. IN 1828-1832 GLO Lindsey 1961; "green ash" = F. pennsyl.  1830s GLO no. IN Qadir 1964;   "blue ash" = F. quadriculata 1830s GLO no. IN Qadir 1964;   "gray ash" = F. americana 1830s GLO no. IN Qadir 1964; thus I would give guess several to green and most to gray at level 2; JP changed Level 2 to Green/gray ash
gray ash,gray ash,Gray ash  ,Ash,Indiana v2.0,CVC this gets confusing as gray ash = g ash shows up in IL and is apparently to white ash see "gray ash" =white ash IN GLO; "white ash" 1816 ; Wabush R. IN-IL GLO;  "g ash", "gray ash",  "gray", "grey ash" 1819 DeKalb Co IN to 1834 Fulton Co. IN GLO;  Thus I would 
Gray ash,Gray ash,Gray ash  ,Ash,Indiana v2.0,
Gray Ash,Gray Ash,Gray ash  ,Ash,Indiana v2.0,
gray-ash,gray-ash,Gray ash,Ash,Indiana v2.0,
grey ash,grey ash,Gray ash  ,Ash,Indiana v2.0,
Grey ash,Grey ash,Gray ash  ,Ash,Indiana v2.0,
Grey Ash,Grey Ash,Gray ash  ,Ash,Indiana v2.0,see above
Ground Beech,Ground Beech,Beech,Beech,Indiana v2.0,
gum,gum,Black gum/sweet gum,Black gum/sweet gum,Indiana v2.0,
Gum,Gum,Black gum/sweet gum,Black gum/sweet gum,Indiana v2.0,
h beam,h beam,Hornbeam,Ironwood,Indiana v2.0,
h elm,h elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
H elm,H elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
h locust,h locust,Honey locust,Locust,Indiana v2.0,
H locust,H locust,Honey locust,Locust,Indiana v2.0,
H Locust,H Locust,Honey locust,Locust,Indiana v2.0,
H. Elm,H. Elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
h. locust,h. locust,Honey locust,Locust,Indiana v2.0,
H. Locust,H. Locust,Honey locust,Locust,Indiana v2.0,
hack,hack,Hackberry,Hackberry,Indiana v2.0,
hack bush,hack bush,Hackberry,Hackberry,Indiana v2.0,
hackberry,hackberry,Hackberry,Hackberry,Indiana v2.0,
Hackberry,Hackberry,Hackberry,Hackberry,Indiana v2.0,
Hackbery,Hackbery,Hackberry,Hackberry,Indiana v2.0,
haw,haw,Hawthorn,Other hardwood,Indiana v2.0,
Haw,Haw,Hawthorn,Other hardwood,Indiana v2.0,
haw bush,haw bush,Hawthorn,Other hardwood,Indiana v2.0,
haw tree,haw tree,Hawthorn,Other hardwood,Indiana v2.0,
hawbush,hawbush,Hawthorn,Other hardwood,Indiana v2.0,
Hawbush,Hawbush,Hawthorn,Other hardwood,Indiana v2.0,
hawthorn,hawthorn,Hawthorn,Other hardwood,Indiana v2.0,
Hawthorn,Hawthorn,Hawthorn,Other hardwood,Indiana v2.0,
Heicky,Heicky,Hickory,Hickory,Indiana v2.0,
hemlock,hemlock,Hemlock,Hemlock,Indiana v2.0,
Hic Elm,Hic Elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
hick,hick,Hickory,Hickory,Indiana v2.0,
Hick,Hick,Hickory,Hickory,Indiana v2.0,
hick elm,hick elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
hickory,hickory,Hickory,Hickory,Indiana v2.0,
Hickory,Hickory,Hickory,Hickory,Indiana v2.0,
HIckory,HIckory,Hickory,Hickory,Indiana v2.0,
hickory elm,hickory elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
Hickory sapling,Hickory sapling,Hickory,Hickory,Indiana v2.0,
hickroy,hickroy,Hickory,Hickory,Indiana v2.0,
hickry,hickry,Hickory,Hickory,Indiana v2.0,
hicky,hicky,Hickory,Hickory,Indiana v2.0,
Hicky,Hicky,Hickory,Hickory,Indiana v2.0,
hicky elm,hicky elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
Hicky Elm,Hicky Elm,Rock elm,Elm,Indiana v2.0,CVC:Hickory elm apparently equivalent to rock elm (Ulmus thomasii)-from Google and the logic that hickory and rock elm are hard-wood. Thus it should be under elm.
hicky-elm,hicky-elm,Rock elm,Elm,Indiana v2.0,
hicory,hicory,Hickory,Hickory,Indiana v2.0,
hik,hik,Hickory,Hickory,Indiana v2.0,
hon locust,hon locust,Honey locust,Locust,Indiana v2.0,
Hon. Locust,Hon. Locust,Honey locust,Locust,Indiana v2.0,
Honey Locus,Honey Locus,Honey locust,Locust,Indiana v2.0,
honey locust,honey locust,Honey locust,Locust,Indiana v2.0,
Honey locust,Honey locust,Honey locust,Locust,Indiana v2.0,
Honey Locust,Honey Locust,Honey locust,Locust,Indiana v2.0,
hoop ash,hoop ash,Hoop ash,Other hardwood,Indiana v2.0,
Hoop ash,Hoop ash,Other hardwood,Other hardwood,Indiana v2.0,
Hoop Ash,Hoop Ash,Other hardwood,Other hardwood,Indiana v2.0,
hoopwood,hoopwood,Other hardwood,Other hardwood,Indiana v2.0,
Hoopwood,Hoopwood,Other hardwood,Other hardwood,Indiana v2.0,
horn,horn,Hornbeam,Ironwood,Indiana v2.0,
horn beam,horn beam,Hornbeam,Ironwood,Indiana v2.0,
Horn beam,Horn beam,Hornbeam,Ironwood,Indiana v2.0,
hornbeam,hornbeam,Hornbeam,Ironwood,Indiana v2.0,
Hornbeam,Hornbeam,Hornbeam,Ironwood,Indiana v2.0,see above
Irnwd,Irnwd,Ironwood,Ironwood,Indiana v2.0,
iron,iron,Ironwood,Ironwood,Indiana v2.0,
iron wood,iron wood,Ironwood,Ironwood,Indiana v2.0,
Iron wood,Iron wood,Ironwood,Ironwood,Indiana v2.0,
irond,irond,Ironwood,Ironwood,Indiana v2.0,
Irond,Irond,Ironwood,Ironwood,Indiana v2.0,
IronD,IronD,Ironwood,Ironwood,Indiana v2.0,
ironw,ironw,Ironwood,Ironwood,Indiana v2.0,
Ironw,Ironw,Ironwood,Ironwood,Indiana v2.0,
ironwd,ironwd,Ironwood,Ironwood,Indiana v2.0,
IronwD,ironwD,Ironwood,Ironwood,Indiana v2.0,
Ironwd,Ironwd,Ironwood,Ironwood,Indiana v2.0,
IronwD,IronwD,Ironwood,Ironwood,Indiana v2.0,
ironwd.,ironwd.,Ironwood,Ironwood,Indiana v2.0,
ironwod,ironwod,Ironwood,Ironwood,Indiana v2.0,
Ironwod,Ironwod,Ironwood,Ironwood,Indiana v2.0,
ironwood,ironwood,Ironwood,Ironwood,Indiana v2.0,
Ironwood,Ironwood,Ironwood,Ironwood,Indiana v2.0,
Ironwood sapling,Ironwood sapling,Ironwood,Ironwood,Indiana v2.0,
j oak,j oak,Jack oak,Oak,Indiana v2.0,
J oak,J oak,Jack oak,Oak,Indiana v2.0,
J Oak,J Oak,Jack oak,Oak,Indiana v2.0,
J. Oak,J. Oak,Jack oak,Oak,Indiana v2.0,CVC level 2 jack oak and almost certainly  blackjack oak but this is several species depending on location
J? Oak,J? oak,Jack oak,Oak,Indiana v2.0,
jack oak,jack oak,Jack oak,Oak,Indiana v2.0,CVC level 2 jack oak and almost certainly  blackjack oak but this is several species depending on location
jack Oak,jack Oak,Jack oak,Oak,Indiana v2.0,
Jack oak,Jack oak,Jack oak,Oak,Indiana v2.0,
Jack Oak,Jack Oak,Jack oak,Oak,Indiana v2.0,
JACK OAK,JACK OAK,Jack oak,Oak,Indiana v2.0,
linn,linn,Lynn,Basswood,Indiana v2.0,
locust,locust,Locust,Locust,Indiana v2.0,
Locust,Locust,Locust,Locust,Indiana v2.0,CVC Level 2 is locust, I doubt any of these are thorn
Lyme,Lyme,Lynn,Basswood,Indiana v2.0,CVC level 2 would be lynn
lynn,lynn,Lynn,Basswood,Indiana v2.0,CVC level 2 would be lynn
Lynn,Lynn,Lynn,Basswood,Indiana v2.0,
lynn tree,lynn tree,Lynn,Basswood,Indiana v2.0,
lynne,lynne,Lynn,Basswood,Indiana v2.0,
Lynntree,Lynntree,Lynn,Basswood,Indiana v2.0,
lynnwood,lynnwood,Lynn,Basswood,Indiana v2.0,
mahogany,mahogany,Mahogany,Other hardwood,Indiana v2.0,
maple,maple,Maple,Maple,Indiana v2.0,
Maple,Maple,Maple,Maple,Indiana v2.0,
Maypole,Maypole,Maple,Maple,Indiana v2.0,
mulberry,mulberry,Mulberry,Mulberry,Indiana v2.0,
Mulberry,Mulberry,Mulberry,Mulberry,Indiana v2.0,
mullberry,mullberry,Mulberry,Mulberry,Indiana v2.0,
nine bark,nine bark,Ninebark,Other hardwood,Indiana v2.0,
no data,no data,No data,No data,Indiana v2.0,
No data,No data,No data,No data,Indiana v2.0,
no tree,no tree,No tree,No tree,Indiana v2.0,
No tree,No tree,No tree,No tree,Indiana v2.0,
North b ash,North b ash,Black/blue ash,Ash,Indiana v2.0,
North poplar,North poplar,Poplar,Poplar/tulip poplar,Indiana v2.0,
oak,oak,Oak,Oak,Indiana v2.0,
Oak,Oak,Oak,Oak,Indiana v2.0,
OAK,OAK,Oak,Oak,Indiana v2.0,
p ash,p ash,Prickly ash,Other hardwood,Indiana v2.0,
p oak,p oak,Pin/post oak,Oak,Indiana v2.0,see above
P oak,P oak,Pin/post oak,Oak,Indiana v2.0,
P Oak,P Oak,Pin/post oak,Oak,Indiana v2.0,
P. ash,P. ash,Prickly ash,Other hardwood,Indiana v2.0,CVC perhaps prickly ash
P. Oak,P. Oak,Pin/post oak,Oak,Indiana v2.0,
p.ash,p.ash,Prickly ash,Other hardwood,Indiana v2.0,
p.oak,p.oak,Pin/post oak,Oak,Indiana v2.0,
Packawn,Packawn,Unknown tree,Unknown tree,Indiana v2.0,
parsimon,parsimon,Persimmon,Other hardwood,Indiana v2.0,
paw paw,paw paw,Paw paw,Other hardwood,Indiana v2.0,
Paw paw,Paw paw,Paw paw,Other hardwood,Indiana v2.0,
pawpaw,pawpaw,Paw paw,Other hardwood,Indiana v2.0,
Pawpaw,Pawpaw,Paw paw,Other hardwood,Indiana v2.0,
pecan,pecan,Pecan,Other hardwood,Indiana v2.0,
Pecan,Pecan,Pecan,Other hardwood,Indiana v2.0,
pecon,pecon,Pecan,Other hardwood,Indiana v2.0,
Pepperage,Pepperage,Black gum,Black gum,Indiana v2.0,CVC at level 2 this would be pepperidge and gum at level 3a
pepperidge,pepperidge,Black gum,Black gum,Indiana v2.0,CVC at level 2 this would be pepperidge and gum at level 3a
peprage or b gum,peprage or b gum,Black gum,Black gum,Indiana v2.0,
percimmon,percimmon,Persimmon,Other hardwood,Indiana v2.0,
persimmon,persimmon,Persimmon,Other hardwood,Indiana v2.0,
Persimmon,Persimmon,Persimmon,Other hardwood,Indiana v2.0,
persimon,persimon,Persimmon,Other hardwood,Indiana v2.0,
pigeon oak,pigeon oak,Pigeon oak,Other hardwood,Indiana v2.0,
pin oak,pin oak,Pin oak,Oak,Indiana v2.0,
Pin oak,Pin oak,Pin oak,Oak,Indiana v2.0,
Pin Oak,Pin Oak,Pin oak,Oak,Indiana v2.0,
pin or r oak,pin or r oak,Oak,Oak,Indiana v2.0,
pine,pine,Pine,Pine,Indiana v2.0,
Pine,Pine,Pine,Pine,Indiana v2.0,
pinoak,pinoak,Pin oak,Oak,Indiana v2.0,
Pitch Pine,Pitch Pine,Pitch pine,Pine,Indiana v2.0,
plum,plum,Plum,Other hardwood,Indiana v2.0,
Plum,Plum,Plum,Other hardwood,Indiana v2.0,
plum bush,plum bush,Plum,Other hardwood,Indiana v2.0,
Plum Bush,Plum Bush,Plum,Other hardwood,Indiana v2.0,
plum tree,plum tree,Plum,Other hardwood,Indiana v2.0,
plumb,plumb,Plum,Other hardwood,Indiana v2.0,
Plumb,Plumb,Plum,Other hardwood,Indiana v2.0,
plumb bush,plumb bush,Plum,Other hardwood,Indiana v2.0,
Plumb Bush,Plumb Bush,Plum,Other hardwood,Indiana v2.0,
plumb tree,plumb tree,Plum,Other hardwood,Indiana v2.0,
plumbtree,plumbtree,Plum,Other hardwood,Indiana v2.0,
plumbush,plumbush,Plum,Other hardwood,Indiana v2.0,
Plumbush,Plumbush,Plum,Other hardwood,Indiana v2.0,
pop,pop,Poplar,Poplar/tulip poplar,Indiana v2.0,
Popl,Popl,Poplar,Poplar/tulip poplar,Indiana v2.0,
poplar,poplar,Poplar,Poplar/tulip poplar,Indiana v2.0,
Poplar,Poplar,Poplar,Poplar/tulip poplar,Indiana v2.0,
Popr,Popr,Poplar,Poplar/tulip poplar,Indiana v2.0,
popular,popular,Poplar,Poplar/tulip poplar,Indiana v2.0,
post oak,post oak,Post oak,Oak,Indiana v2.0,
Post Oak,Post Oak,Post oak,Oak,Indiana v2.0,
Post W. Oak,Post W. Oak,White Oak,Oak,Indiana v2.0,
Precon,Precon,Unknown tree,Unknown tree,Indiana v2.0,
Q ash,Q ash,Quaking ash,Other hardwood,Indiana v2.0,
Q. ash,Q. ash,Quaking ash,Other hardwood,Indiana v2.0,
quaking ash,quaking ash,Quaking ash,Other hardwood,Indiana v2.0,
Quaking ash,Quaking ash,Quaking ash,Other hardwood,Indiana v2.0,
Quaking Ash,Quaking Ash,Quaking ash,Other hardwood,Indiana v2.0,STJ: Probably quaking aspen?  CVC Jody an I went through this and I still feel it is aspen. JP I checked these 2 again and the handwriting is very clear and says Quaking Ash
quaking asp,quaking asp,Aspen,Poplar,Indiana v2.0,
Quaking Asp,Quaking Asp,Aspen,Poplar,Indiana v2.0,
quaking aspen,quaking aspen,Aspen,Poplar,Indiana v2.0,
R Bud,R Bud,Red bud,Other hardwood,Indiana v2.0,
r cedar,r cedar,Red cedar,Cedar/juniper,Indiana v2.0,
r elm,r elm,Red elm,Elm,Indiana v2.0,
R elm,R elm,Red elm,Elm,Indiana v2.0,
R Elm,R Elm,Red elm,Elm,Indiana v2.0,
r haw,r haw,Hawthorn,Other hardwood,Indiana v2.0,
R haw,R haw,Red haw,Other hardwood,Indiana v2.0,CVC most likely hawthorn  , but level 2 is red haw level 3a is rose tree
r oak,r oak,Red oak,Oak,Indiana v2.0,
R oak,R oak,Red oak,Oak,Indiana v2.0,
R Oak,R Oak,Red oak,Oak,Indiana v2.0,
r. elm,r. elm,Red elm,Elm,Indiana v2.0,
R. Elm,R. Elm,Red elm,Elm,Indiana v2.0,
r. haw,r. haw,Red haw,Other hardwood,Indiana v2.0,
R. Haw,R. Haw,Red haw,Other hardwood,Indiana v2.0,
r. oak,r. oak,Red oak,Oak,Indiana v2.0,
R. oak,R. oak,Red oak,Oak,Indiana v2.0,
R. Oak,R. Oak,Red oak,Oak,Indiana v2.0,
rd oak,rd oak,Red oak,Oak,Indiana v2.0,
red ash,red ash,Red ash,Ash,Indiana v2.0,
Red Beech,Red Beech,Red beech,Beech,Indiana v2.0,
red bud,red bud,Red bud,Other hardwood,Indiana v2.0,
Red bud,Red bud,Red bud,Other hardwood,Indiana v2.0,
Red Bud,Red Bud,Red bud,Other hardwood,Indiana v2.0,
red elm,red elm,Red elm,Elm,Indiana v2.0,
Red elm,Red elm,Red elm,Elm,Indiana v2.0,
Red Elm,Red Elm,Red elm,Elm,Indiana v2.0,
red haw,red haw,Hawthorn,Other hardwood,Indiana v2.0,
Red haw,Red haw,Hawthorn,Other hardwood,Indiana v2.0,
Red Haw,Red Haw,Hawthorn,Other hardwood,Indiana v2.0,
Red Hawthorn,Red Hawthorn,Hawthorn,Other hardwood,Indiana v2.0,
Red Hickory,Red Hickory,Hickory,Hickory,Indiana v2.0,
red lin,red lin,Lynn,Basswood,Indiana v2.0,
red locust,red locust,Red locust,Locust,Indiana v2.0,
Red Locust,Red Locust,Locust,Locust,Indiana v2.0,
red o,red o,Red oak,Oak,Indiana v2.0,
red oak,red oak,Red oak,Oak,Indiana v2.0,
Red oak,Red oak,Red oak,Oak,Indiana v2.0,
Red Oak,Red Oak,Red oak,Oak,Indiana v2.0,
red ok,red ok,Red Oak,Oak,Indiana v2.0,
red willow,red willow,Willow,Willow,Indiana v2.0,
Red willow,Red willow,Willow,Willow,Indiana v2.0,
redbud,redbud,Red bud,Other hardwood,Indiana v2.0,
Redbud,Redbud,Red bud,Other hardwood,Indiana v2.0,
red-bud,red-bud,Red bud,Other hardwood,Indiana v2.0,
s ash,s ash,Swamp ash,Ash,Indiana v2.0,
S ash,S ash,Swamp ash,Ash,Indiana v2.0,
S Ash,S Ash,Swamp ash,Ash,Indiana v2.0,
s beech,s beech,Swamp beech,Beech,Indiana v2.0,
S Beech,S Beech,Swamp beech,Beech,Indiana v2.0,
s elm,s elm,Swamp elm,Elm,Indiana v2.0,
S Elm,S Elm,Swamp elm,Elm,Indiana v2.0,
s gum,s gum,Sweet gum,Sweet gum,Indiana v2.0,
S Gum,S Gum,Sweet gum,Sweet gum,Indiana v2.0,
s lynn,s lynn,Lynn,Basswood,Indiana v2.0,
s maple,s maple,Soft maple,Maple,Indiana v2.0,
s oak,s oak,Spanish/swamp oak,Oak,Indiana v2.0,see above;
S oak,S oak,Spanish/swamp oak,Oak,Indiana v2.0,
S Oak,S Oak,Spanish/swamp oak,Oak,Indiana v2.0,
s. ash,s. ash,Swamp ash,Ash,Indiana v2.0,
S. Ash,S. Ash,Swamp ash,Ash,Indiana v2.0,STJ:  ??  Swamp-ash-lite?  CVC seem to be swamp ash a common usage most likely equivalent to black ash. 
s. cherry,s. cherry,Cherry,Cherry,Indiana v2.0,
s. elm,s. elm,Swamp elm,Elm,Indiana v2.0,
S. Elm,S. Elm,Swamp elm,Elm,Indiana v2.0,
S. Gum,S. Gum,Sweet gum,Sweet gum,Indiana v2.0,
s. maple,s. maple,Maple,Maple,Indiana v2.0,
S. Maple,S. Maple,Soft maple,Maple,Indiana v2.0,
s. oak,s. oak,Spanish/swamp oak,Oak,Indiana v2.0,
S. oak,S. oak,Spanish/swamp oak,Oak,Indiana v2.0,
S. Oak,S. Oak,Spanish/swamp oak,Oak,Indiana v2.0,CVC  yes could be swamp oak, but also spanish oat.  
s.oak,s.oak,Spanish/swamp oak,Oak,Indiana v2.0,
s___ oak,s___ oak,Spanish/swamp oak,Oak,Indiana v2.0,
safafrafs,safafrafs,Sassafrass,Other hardwood,Indiana v2.0,
safsafras,safsafras,Sassafrass,Other hardwood,Indiana v2.0,
Safsafras,Safsafras,Sassafrass,Other hardwood,Indiana v2.0,
sand oak,sand oak,Oak,Oak,Indiana v2.0,
Sapafas,Sapafas,Sassafrass,Other hardwood,Indiana v2.0,
Sapafrap,Sapafrap,Sassafrass,Other hardwood,Indiana v2.0,
sapafras,sapafras,Sassafrass,Other hardwood,Indiana v2.0,
Sapafras,Sapafras,Sassafrass,Other hardwood,Indiana v2.0,
Sapapap,Sapapap,Sassafrass,Other hardwood,Indiana v2.0,
sapapas,sapapas,Sassafras,Other hardwood,Indiana v2.0,
sapapras,sapapras,Sassafrass,Other hardwood,Indiana v2.0,
sasafras,sasafras,Sassafrass,Other hardwood,Indiana v2.0,
Sasafras,Sasafras,Sassafrass,Other hardwood,Indiana v2.0,
sasafrass,sasafrass,Sassafrass,Other hardwood,Indiana v2.0,
sasfras,sasfras,Sassafrass,Other hardwood,Indiana v2.0,
sassafras,sassafras,Sassafrass,Other hardwood,Indiana v2.0,
Sassafras,Sassafras,Sassafrass,Other hardwood,Indiana v2.0,
sassafrass,sassafrass,Sassafrass,Other hardwood,Indiana v2.0,
Sassafrass,Sassafrass,Sassafrass,Other hardwood,Indiana v2.0,
Sassfrass,Sassfrass,Sassafrass,Other hardwood,Indiana v2.0,
Scrub,Scrub,Unknown tree,Unknown tree,Indiana v2.0,
scrub oak,scrub oak,Oak,Oak,Indiana v2.0,
Scrub oak,Scrub oak,Oak,Oak,Indiana v2.0,
scrubby wh oak,scrubby wh oak,White oak,Oak,Indiana v2.0,
Service Bush,Service Bush,Other hardwood,Other hardwood,Indiana v2.0,
shrub oak,shrub oak,Oak,Oak,Indiana v2.0,
slippery elm,slippery elm,Elm,Elm,Indiana v2.0,
Slippery Elm,Slippery Elm,Slippery elm,Elm,Indiana v2.0,
Small Willow,Small Willow,Willow,Willow,Indiana v2.0,
soft maple,soft maple,Soft maple,Maple,Indiana v2.0,
Soft Maple,Soft Maple,Soft maple,Maple,Indiana v2.0,
Solitary Oak,Solitary Oak,Oak,Oak,Indiana v2.0,
sp oak,sp oak,Spanish oak,Oak,Indiana v2.0,
Sp oak,Sp oak,Spanish oak,Oak,Indiana v2.0,
Sp Oak,Sp Oak,Spanish oak,Oak,Indiana v2.0,
SP Oak,SP Oak,Spanish oak,Oak,Indiana v2.0,
sp. oak,sp. oak,Spanish oak,Oak,Indiana v2.0,
Sp. Oak,Sp. Oak,Spanish oak,Oak,Indiana v2.0,STJ:  Why not Spanish? CVC agree this is spanish oak. JP Level 2 had been Swamp White, I changed to Spanish oak 1-31-14
spa oak,spa oak,Spanish oak,Oak,Indiana v2.0,
span oak,span oak,Spanish oak,Oak,Indiana v2.0,
Span oak,Span oak,Spanish oak,Oak,Indiana v2.0,
Span Oak,Span Oak,Spanish oak,Oak,Indiana v2.0,
span. oak,span. oak,Spanish oak,Oak,Indiana v2.0,
Span. oak,Span. oak,Spanish oak,Oak,Indiana v2.0,
Span. Oak,Span. Oak,Spanish oak,Oak,Indiana v2.0,
spanish oak,spanish oak,Spanish oak,Oak,Indiana v2.0,
Spanish Oak,Spanish Oak,Spanish oak,Oak,Indiana v2.0,
sph oak,sph oak,Spanish oak,Oak,Indiana v2.0,
Sph Oak,Sph Oak,Spanish oak,Oak,Indiana v2.0,
spn. oak,spn. oak,Spanish oak,Oak,Indiana v2.0,
Stooping beech,Stooping beech,Beech,Beech,Indiana v2.0,
sug,sug,Sugar,Maple,Indiana v2.0,
Sug,Sug,Sugar,Maple,Indiana v2.0,
sug tree,sug tree,Sugar tree,Maple,Indiana v2.0,
Sug tree,Sug tree,Sugar tree,Maple,Indiana v2.0,
Sug Tree,Sug Tree,Sugar tree,Maple,Indiana v2.0,
Sug.,Sug.,Sugar,Maple,Indiana v2.0,
sugar,sugar,Sugar,Maple,Indiana v2.0,CVC level 2 would be sugar
Sugar,Sugar,Sugar,Maple,Indiana v2.0,
Sugar,Sugar,Sugar,Maple,Indiana v2.0,
sugar maple,sugar maple,Maple,Maple,Indiana v2.0,
Sugar Maple,Sugar Maple,Sugar maple,Maple,Indiana v2.0,
sugar tree,sugar tree,Sugar tree,Maple,Indiana v2.0,
Sugar tree,Sugar tree,Sugar tree,Maple,Indiana v2.0,
Sugar Tree,Sugar Tree,Sugar tree,Maple,Indiana v2.0,
sugartree,sugartree,Sugar tree,Maple,Indiana v2.0,CVC level 2 would be sugar or sugar tree
Sugartree,Sugartree,Sugar tree,Maple,Indiana v2.0,
Sugatree,Sugatree,Sugar tree,Maple,Indiana v2.0,
sugr,sugr,Maple,Maple,Indiana v2.0,
Sugr,Sugr,Sugar,Maple,Indiana v2.0,
Sumack,Sumack,Sumac,Other hardwood,Indiana v2.0,
swamp ash,swamp ash,Swamp ash,Ash,Indiana v2.0,
Swamp ash,Swamp ash,Swamp ash,Ash,Indiana v2.0,
Swamp Ash,Swamp Ash,Swamp ash,Ash,Indiana v2.0,
swamp beech,swamp beech,Swamp beech,Beech,Indiana v2.0,
Swamp Beech,Swamp Beech,Swamp beech,Beech,Indiana v2.0,
swamp oak,swamp oak,Swamp oak,Oak,Indiana v2.0,
Swamp Oak,Swamp Oak,Swamp oak,Oak,Indiana v2.0,CVC keep as swamp oak, likely swamp white oak but not explicit. JP changed level 2 from Swamp White to Swamp oak 1-31-14
swamp willow,swamp willow,Willow,Willow,Indiana v2.0,
Swamp Willow,Swamp Willow,Willow,Willow,Indiana v2.0,
sweet gum,sweet gum,Sweet Gum,Sweet gum,Indiana v2.0,
Sweet Gum,Sweet Gum,Sweet Gum,Sweet gum,Indiana v2.0,
sweet oak,sweet oak,Oak,Oak,Indiana v2.0,
Sweet Thorn,Sweet Thorn,Hawthorn,Other hardwood,Indiana v2.0,
swp ash,swp ash,Swamp ash,Ash,Indiana v2.0,
Swp ash,Swp ash,Swamp ash,Ash,Indiana v2.0,
Swp Ash,Swp Ash,Swamp ash,Ash,Indiana v2.0,
swp beech,swp beech,Swamp beech,Beech,Indiana v2.0,
Swp Beech,Swp Beech,Swamp beech,Beech,Indiana v2.0,
swp elm,swp elm,Swamp elm,Elm,Indiana v2.0,
Swp Elm,Swp Elm,Swamp elm,Elm,Indiana v2.0,
swp maple,swp maple,Maple,Maple,Indiana v2.0,
swp oak,swp oak,Swamp oak,Oak,Indiana v2.0,
Swp oak,Swp oak,Swamp oak,Oak,Indiana v2.0,
Swp Oak,Swp Oak,Swamp oak,Oak,Indiana v2.0,CVC explicitly is swamp oak; JP changed Level 2 from Swamp White to Swamp oak
swp. ash,swp. ash,Swamp ash,Ash,Indiana v2.0,
Swp. Ash,Swp. Ash,Swamp ash,Ash,Indiana v2.0,
Swp. Elm,Swp. Elm,Swamp elm,Elm,Indiana v2.0,
Swp. Oak,Swp. Oak,Swamp oak,Oak,Indiana v2.0,
